nohup: ignoring input
4500000
(4500000, 1500)
('shape of sum array', (4500000,))
('shape of correlations', (1500, 4500000))
('sum of correlations, sum of row sums', 14300030, 14300030)
block_size_x=64, f_unroll=3, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 73.1139648437 ms.
block_size_x=64, f_unroll=3, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 73.2980987549 ms.
block_size_x=64, f_unroll=3, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 100.48316803 ms.
block_size_x=64, f_unroll=3, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 191.716098022 ms.
block_size_x=64, f_unroll=4, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 126.769619751 ms.
block_size_x=64, f_unroll=4, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 81.5735183716 ms.
block_size_x=64, f_unroll=4, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 72.3649597168 ms.
block_size_x=64, f_unroll=4, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 105.479173279 ms.
block_size_x=64, f_unroll=4, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 193.341488647 ms.
block_size_x=64, f_unroll=5, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 125.714968872 ms.
block_size_x=64, f_unroll=5, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 82.206817627 ms.
block_size_x=64, f_unroll=5, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 74.3643325806 ms.
block_size_x=64, f_unroll=5, write_sums=1, tile_size_x=8, quadratic_difference_linear took: 105.638656616 ms.
block_size_x=64, f_unroll=5, write_sums=1, tile_size_x=16, quadratic_difference_linear took: 191.503842163 ms.
block_size_x=64, f_unroll=6, write_sums=1, tile_size_x=1, quadratic_difference_linear took: 138.338705444 ms.
block_size_x=64, f_unroll=6, write_sums=1, tile_size_x=2, quadratic_difference_linear took: 89.1395889282 ms.
block_size_x=64, f_unroll=6, write_sums=1, tile_size_x=4, quadratic_difference_linear took: 74.4075454712 ms.
