nohup: ignoring input
4500000
(4500000, 1500)
('hits ', 14321674, 14321674)
block_size_x=32, f_unroll=6, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 213.239642334 ms.
block_size_x=32, f_unroll=6, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 196.469891357 ms.
block_size_x=32, f_unroll=6, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 251.670388794 ms.
block_size_x=32, f_unroll=6, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 207.684979248 ms.
block_size_x=32, f_unroll=6, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 144.16027832 ms.
block_size_x=32, f_unroll=6, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 213.625247192 ms.
block_size_x=32, f_unroll=6, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 196.506130981 ms.
block_size_x=32, f_unroll=6, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 251.699255371 ms.
block_size_x=32, f_unroll=10, read_only=0, tile_size_x=1, use_if=1, quadratic_difference_linear took: 202.942874146 ms.
block_size_x=32, f_unroll=10, read_only=0, tile_size_x=2, use_if=1, quadratic_difference_linear took: 150.219744873 ms.
block_size_x=32, f_unroll=10, read_only=0, tile_size_x=4, use_if=1, quadratic_difference_linear took: 218.672415161 ms.
block_size_x=32, f_unroll=10, read_only=0, tile_size_x=8, use_if=1, quadratic_difference_linear took: 197.807867432 ms.
block_size_x=32, f_unroll=10, read_only=0, tile_size_x=16, use_if=1, quadratic_difference_linear took: 252.758013916 ms.
block_size_x=32, f_unroll=10, read_only=1, tile_size_x=1, use_if=1, quadratic_difference_linear took: 202.9537323 ms.
block_size_x=32, f_unroll=10, read_only=1, tile_size_x=2, use_if=1, quadratic_difference_linear took: 150.163858032 ms.
block_size_x=32, f_unroll=10, read_only=1, tile_size_x=4, use_if=1, quadratic_difference_linear took: 218.041506958 ms.
block_size_x=32, f_unroll=10, read_only=1, tile_size_x=8, use_if=1, quadratic_difference_linear took: 197.324932861 ms.
block_size_x=32, f_unroll=10, read_only=1, tile_size_x=16, use_if=1, quadratic_difference_linear took: 252.482687378 ms.
